Pharmacy-Name,Phone,Credential,Location,Address,City,State,Zip,CredentialId
STOP & SHOP PHARMACY #687,(203) 481-3392,PCY.0001280,"22 LEETES ISLAND RD
CT 06405-6514
(41.297705, -72.764762)",22 LEETES ISLAND RD,BRANFORD,CT,06405-6514,241635
WALGREENS #10310,(203) 353-9117,PCY.0002120,"780 E MAIN ST
CT 06902-3832
(41.055272, -73.529015)",780 E MAIN ST,STAMFORD,CT,06902-3832,509530
RITE AID  #10347,(860) 257-8100,PCY.0001325,"657 SILAS DEANE HWY
CT 06109-3026
(41.706725, -72.66173)",657 SILAS DEANE HWY,WETHERSFIELD,CT,06109-3026,342554
ST VINCENTS OUTPATIENT PHARMACY,(203) 576-5713,PCY.0002237,"2800 MAIN ST
CT 06606-4201
(41.200083, -73.202486)",2800 MAIN ST,BRIDGEPORT,CT,06606-4201,1065025
CVS PHARMACY #2022,(860) 668-5115,PCY.0000899,"163 MOUNTAIN RD
CT 06078-2005
(41.779747, -72.490139)",163 MOUNTAIN RD,SUFFIELD,CT,06078-2005,37767
RITE AID  #10372,(203) 484-0431,PCY.0001459,"1395 MIDDLETOWN AVE
CT 06472-1395
(41.392852, -72.791984)",1395 MIDDLETOWN AVE,NORTHFORD,CT,06472-1395,38906
WALGREENS #10647,(203) 265-6336,PCY.0001376,"284 S COLONY RD
CT 06492-4554
(41.451538, -72.827053)",284 S COLONY RD,WALLINGFORD,CT,06492-4554,38676
CVS PHARMACY #1028,8606217371,PCY.0001495,"724 QUEEN STREET
CT 06489
(41.635977, -72.873698)",724 QUEEN STREET,SOUTHINGTON,CT,06489,39109
HANCOCK'S PHARMACY AND SURGICAL CENTER,(203) 235-6323,PCY.0000897,"840 E MAIN ST
CT 06450-6008
(41.528321, -72.775253)",840 E MAIN ST,MERIDEN,CT,06450-6008,37770
WALGREENS  #06654,(860) 644-1210,PCY.0001816,"149 DEMING ST
CT 06042-1731
(41.813229, -72.525258)",149 DEMING ST,MANCHESTER,CT,06042-1731,320701
CVS PHARMACY #1898,(203) 698-1457,PCY.0001492,"225 SOUND BEACH AVE
CT 06870-1607
(41.031205, -73.567621)",225 SOUND BEACH AVE,OLD GREENWICH,CT,06870-1607,39108
CVS PHARMACY #10462,,PCY.0002297,"720 BRANCHVILLE RD
CT 06877-6129
(41.267833, -73.442893)",720 BRANCHVILLE RD,RIDGEFIELD,CT,06877-6129,1227898
WESTOWN PHARMACY,(860) 649-9946,PCY.0000819,"455 HARTFORD RD
CT 06040
(41.764502, -72.54148)",455 HARTFORD RD,MANCHESTER,CT,06040,37567
QUALITY CARE DRUG NEW LONDON,(860) 443-0421,PCY.0002285,"467 OCEAN AVE
CT 06320-4502
(41.333254, -72.10428)",467 OCEAN AVE,NEW LONDON,CT,06320-4502,1198045
RITE AID #10363,(203) 267-0732,PCY.0001201,"25 E HIGH ST
CT 06424-1087
(41.58373, -72.502552)",25 E HIGH ST STE 8,EAST HAMPTON,CT,06424-1087,38223
RITE AID  #2666,(203) 596-8192,PCY.0001404,"277 FAIRFIELD AVE
CT 06708-4068
(41.535571, -73.059624)",277 FAIRFIELD AVE,WATERBURY,CT,06708-4068,38878
STOP & SHOP PHARMACY #670,(203) 372-6538,PCY.0001707,"4531 MAIN ST
CT 06606-1846
(41.222061, -73.21803)",4531 MAIN ST,BRIDGEPORT,CT,06606-1846,214917
RITE AID  #1437,(860) 482-5522,PCY.0000021,"92 WILLOW ST
CT 06790-5501
(41.802689, -73.117042)",92 WILLOW ST,TORRINGTON,CT,06790-5501,36884
RITE AID  #4687,(860) 747-5787,PCY.0001600,"52 EAST ST
CT 06062-2309
(41.670894, -72.860071)",52 EAST ST,PLAINVILLE,CT,06062-2309,176939
WALGREENS #01977,(860) 896-1485,PCY.0002013,"188 UNION ST
CT 06066-2429
(41.868447, -72.465199)",188 UNION ST,VERNON,CT,06066-2429,414164
WALGREENS #13947,(203) 777-7880,PCY.0002200,"1415 CHAPEL ST
CT 06511-4421
(41.310882, -72.942477)",1415 CHAPEL ST,NEW HAVEN,CT,06511-4421,981006
MAIN STREET PHARMACY 3 LLC,(203) 870-9902,PCY.0002190,"2117 BOSTON AVE
CT 06610-3030
(41.192539, -73.155251)",2117 BOSTON AVE,BRIDGEPORT,CT,06610-3030,950661
CVS PHARMACY #3549,(203) 931-1198,PCY.0002280,"355 CAMPBELL AVE
CT 06516-5329
(41.268056, -72.94839)",355 CAMPBELL AVE,WEST HAVEN,CT,06516-5329,1184423
SHOPRITE PHARMACY OF WATERBURY,2037531718,PCY.0001125,"943 WOLCOTT ST
CT 06705-1301
(41.565992, -73.008193)",943 WOLCOTT ST,WATERBURY,CT,06705-1301,249885
CVS PHARMACY #691,(860) 667-1888,PCY.0001229,"1181 MAIN ST
CT 06111-3033
(41.695706, -72.722796)",1181 MAIN ST,NEWINGTON,CT,06111-3033,246428
CVS PHARMACY #2140,(203) 465-7055,PCY.0001649,"526 MERIDEN RD
CT 06705-2217
(41.552506, -73.001172)",526 MERIDEN RD,WATERBURY,CT,06705-2217,186608
CVS PHARMACY #1244,(203) 758-3316,PCY.0000688,"26 WATERBURY RD
CT 06712-1215
(41.507753, -72.981126)",26 WATERBURY RD,PROSPECT,CT,06712-1215,37546
CVS PHARMACY #135,(860) 567-0856,PCY.0001568,"266 WEST ST
CT 06759-3404
(41.745774, -73.201629)",266 WEST ST,LITCHFIELD,CT,06759-3404,134544
STOP & SHOP PHARMACY #662,203-849-8735,PCY.0001574,"380 MAIN AVE
CT 06851-1553
(41.14137, -73.425778)",380 MAIN AVE,NORWALK,CT,06851-1553,167371
STOP & SHOP #630,(860) 667-8380,PCY.0001454,"44 FENN RD
CT 06111-2212
(41.698061, -72.756446)",44 FENN RD,NEWINGTON,CT,06111-2212,38903
HARTFORD HOSPITAL,860-727-1123,PCY.0001282,"85 SEYMOUR ST
CT 06106-5501
(41.754453, -72.680755)",85 SEYMOUR ST,HARTFORD,CT,06106-5501,283062
HANCOCK LTC INC,(203) 235-0335,PCY.0002306,"29 GRAVEL ST
CT 06450-4607
(41.529322, -72.775222)",29 GRAVEL ST,MERIDEN,CT,06450-4607,1261901
CVS PHARMACY #2056,(860) 536-5635,PCY.0001736,"25 BROADWAY AVE
CT 06355-2834
(41.352619, -71.963886)",25 BROADWAY AVE,MYSTIC,CT,06355-2834,225616
WALGREENS #10058,(203) 845-8767,PCY.0002114,"235 MAIN ST
CT 06851-2720
(41.130894, -73.423445)",235 MAIN ST,NORWALK,CT,06851-2720,501179
STOP & SHOP PHARMACY #614,860-828-0772,PCY.0002004,"1135 FARMINGTON AVE
CT 06037-5200
(41.628925, -72.7571)",1135 FARMINGTON AVE,BERLIN,CT,06037-5200,412188
HANCOCK PHARMACY 2,(203) 368-9000,PCY.0002165,"1020 FAIRFIELD AVE
CT 06605-1187
(41.174276, -73.203808)",1020 FAIRFIELD AVE,BRIDGEPORT,CT,06605-1187,916005
RITE AID  #10385,(203) 748-4134,PCY.0001162,"1 PADANARAM RD
STE B, CT 06811-4836
(41.412965, -73.457747)",1 PADANARAM RD STE B,DANBURY,CT,06811-4836,38211
STOP & SHOP PHARMACY #629,2039293887,PCY.0001187,"898 BRIDGEPORT AVENUE
CT 06484
(41.264515, -73.133343)",898 BRIDGEPORT AVENUE,SHELTON,CT,06484,283056
HARTFORD PHARMACY III,(860) 422-8888,PCY.0002350,"33 NEW BRITAIN AVE
CT 06106-3306
(41.746731, -72.684376)",33 NEW BRITAIN AVE,HARTFORD,CT,06106-3306,1397349
NORWALK PHARMACY LLC,(203) 536-4901,PCY.0002172,"250 WESTPORT AVE
CT 06851-4158
(41.12486, -73.395696)",250 WESTPORT AVE,NORWALK,CT,06851-4158,923918
STOP & SHOP PHARMACY #608,8605372570,PCY.0001599,"99 LINWOOD AVE
CT 06415-1159
(41.57247, -72.335348)",99 LINWOOD AVE,COLCHESTER,CT,06415-1159,175335
WALGREENS #09821,(203) 801-0121,PCY.0000956,"36 PINE ST
CT 06840-5430
(41.145023, -73.496633)",36 PINE ST,NEW CANAAN,CT,06840-5430,504522
RELIANT  PHARMACY,(203) 262-8000,PCY.0002189,"200 MAIN ST S
CT 06488-4250
(41.47548, -73.219022)",200 MAIN ST S,SOUTHBURY,CT,06488-4250,949798
BRIDGEPORT CHEMISTS,(203) 367-3666,PCY.0000591,"1407 FAIRFIELD AVE
CT 06605-1928
(41.172865, -73.210446)",1407 FAIRFIELD AVE,BRIDGEPORT,CT,06605-1928,289336
CVS/PHARMACY #17373,(860) 618-4008,PCY.0002099,"1922 E MAIN ST
CT 06790-3101
(41.821044, -73.075874)",1922 E MAIN ST,TORRINGTON,CT,06790-3101,480423
RITE AID  #10388,(203) 846-2398,PCY.0001431,"120 NEW CANAAN AVE
CT 06850-2643
(41.127849, -73.434861)",120 NEW CANAAN AVE,NORWALK,CT,06850-2643,38889
CVS PHARMACY #7093,(203) 778-7471,PCY.0002003,"47 LAKE AVENUE EXT
CT 06811-5259
(41.386727, -73.488796)",47 LAKE AVENUE EXT,DANBURY,CT,06811-5259,412187
NEW HAVEN PHARMACY INC,(203) 777-3700,PCY.0002257,"382 GRAND AVE
CT 06513-3733
(41.308518, -72.902453)",382 GRAND AVE,NEW HAVEN,CT,06513-3733,1133663
CVS PHARMACY #775,(203) 287-0835,PCY.0001252,"2045 DIXWELL AVE
CT 06514-2405
(41.367925, -72.920087)",2045 DIXWELL AVE,HAMDEN,CT,06514-2405,38432
STOP & SHOP PHARMACY #644,(203) 797-8476,PCY.0001375,"44 LAKE AVENUE EXT
CT 06811-5244
(41.386571, -73.487743)",44 LAKE AVENUE EXT,DANBURY,CT,06811-5244,38675
"DIXWELL PHARMACY, LLC",(203) 281-6571,PCY.0000382,"2380 DIXWELL AVE
CT 06514-1847
(41.376025, -72.915777)",2380 DIXWELL AVE,HAMDEN,CT,06514-1847,37314
STOP & SHOP PHARMACY #615,(860) 887-1615,PCY.0000937,"42 TOWN ST
CT 06360-2316
(41.54665, -72.09171)",42 TOWN ST,NORWICH,CT,06360-2316,37774
CVS PHARMACY #1202,(860) 653-4221,PCY.0001484,"20 BANK ST
CT 06035-2302
(41.951942, -72.785517)",20 BANK ST,GRANBY,CT,06035-2302,342548
HARTFORD PHARMACY II,(860) 244-2222,PCY.0002349,"57 PARK ST
CT 06106-2520
(41.757267, -72.677042)",57 PARK ST,HARTFORD,CT,06106-2520,1397348
CVS PHARMACY #2220,(860) 742-3543,PCY.0001837,"3514 MAIN ST
CT 06238-1551
(41.796848, -72.369144)",3514 MAIN ST,COVENTRY,CT,06238-1551,342537
CVS PHARMACY #1968,(203) 468-6594,PCY.0001545,"369 MAIN ST
CT 06512-2835
(41.28011, -72.875738)",369 MAIN ST,EAST HAVEN,CT,06512-2835,861
SALEM PHARMACY LLC,(860) 949-8624,PCY.0002252,"24 HARTFORD RD
CT 06420-3841
(41.478007, -72.266551)",24 HARTFORD RD UNIT 11,SALEM,CT,06420-3841,1121463
RITE AID  #10348,(860) 666-4079,PCY.0001818,"40 CEDAR ST
CT 06111-2613
(41.697878, -72.725398)",40 CEDAR ST,NEWINGTON,CT,06111-2613,319294
GREAT HILLS LLC,(203) 906-3993,PCY.0002333,"152 COLONY ST
A, CT 06451-3225
(41.542155, -72.800102)",152 COLONY ST # A,MERIDEN,CT,06451-3225,1337671
WALGREENS #10003,(203) 634-3241,PCY.0002033,"134 STATE ST
CT 06450-3293
(41.540684, -72.798755)",134 STATE ST,MERIDEN,CT,06450-3293,427224
WALGREENS #07566,(860) 569-4120,PCY.0001352,"922 SILVER LN
CT 06118-1248
(41.765268, -72.603504)",922 SILVER LN,EAST HARTFORD,CT,06118-1248,364682
PETRICONE'S TORRINGTON PHARMACY,(860) 489-5511,PCY.0000773,"110 E MAIN ST
CT 06790-5429
(41.802048, -73.118816)",110 E MAIN ST,TORRINGTON,CT,06790-5429,37561
CVS PHARMACY #2210,(203) 698-4005,PCY.0001627,"1239 E PUTNAM AVE
CT 06878-1522
(41.041815, -73.577693)",1239 E PUTNAM AVE,RIVERSIDE,CT,06878-1522,181999
STOP & SHOP #624,(203) 245-7467,PCY.0001748,"136 SAMSON ROCK DR
CT 06443-3018
(41.278674, -72.596214)",136 SAMSON ROCK DR,MADISON,CT,06443-3018,230525
CVS PHARMACY #1139,(203) 368-0944,PCY.0001576,"2610 E MAIN ST
CT 06610-1422
(41.210914, -73.179049)",2610 E MAIN ST,BRIDGEPORT,CT,06610-1422,165876
"GENOA, A QOL HEALTHCARE COMPANY  LLC",(888) 436-6277,PCY.0002140,"883 PADDOCK AVE
CT 06450-7044
(41.50608, -72.776372)",883 PADDOCK AVE,MERIDEN,CT,06450-7044,531263
WALGREENS #11164,(203) 894-8744,PCY.0002136,"46A DANBURY RD
CT 06877-4019
(41.290639, -73.496656)",46A DANBURY RD,RIDGEFIELD,CT,06877-4019,525744
WALGREENS #16080,(203) 336-3551,PCY.0001108,"414 KINGS HWY E
CT 06825-4846
(41.173201, -73.228903)",414 KINGS HWY E,FAIRFIELD,CT,06825-4846,38007
RITE AID #10384,(203) 798-7520,PCY.0001883,"113 115 MILL PLAIN RD
CT 06811-5277
(41.391828, -73.522327)",113-115 MILL PLAIN RD,DANBURY,CT,06811-5277,376861
CVS PHARMACY #343,(203) 541-3972,PCY.0002181,"66 HIGH RIDGE RD
CT 06905-3807
(41.074539, -73.549001)",66 HIGH RIDGE RD,STAMFORD,CT,06905-3807,928855
BERNEYS PHARMACY,(203) 562-4447,PCY.0002133,"615 HOWARD AVE
CT 06519-2112
(41.297662, -72.93422)",615 HOWARD AVE,NEW HAVEN,CT,06519-2112,520854
STOP & SHOP PHARMACY #694,(203) 234-1757,PCY.0001745,"79 WASHINGTON AVE
CT 06473-1704
(41.392532, -72.858667)",79 WASHINGTON AVE,NORTH HAVEN,CT,06473-1704,227038
GPG LLC,(203) 801-0808,PCY.0002314,"118 MAIN ST
CT 06840-4709
(41.147034, -73.492196)",118 MAIN ST,NEW CANAAN,CT,06840-4709,1283179
CVS PHARMACY #738,(203) 431-8888,PCY.0001228,"467 MAIN ST
CT 06877-4513
(41.282943, -73.498505)",467 MAIN ST,RIDGEFIELD,CT,06877-4513,38239
ORONOQUE PHARMACY,2033781111,PCY.0001287,"7365 MAIN STREET
CT 06614
(41.25343, -73.100474)",7365 MAIN STREET,STRATFORD,CT,06614,38446
STOP & SHOP PHARMACY #674,8604567240,PCY.0001248,"1391 MAIN ST
CT 06226-1949
(41.716043, -72.230832)",1391 MAIN ST,WILLIMANTIC,CT,06226-1949,38430
WALGREENS #11919,(860) 742-5389,PCY.0002148,"1630 BOSTON TPKE
CT 06238-1205
(41.798323, -72.371276)",1630 BOSTON TPKE,COVENTRY,CT,06238-1205,894719
WALGREENS #09785,(203) 777-8001,PCY.0001349,"436 WHALLEY AVE
CT 06511-3012
(41.31855, -72.947771)",436 WHALLEY AVE,NEW HAVEN,CT,06511-3012,38656
"EYE OF HORUS PHARMACEUTICAL SERVICES, LLC",8607450183,PCY.0001177,"15 PALOMBA DRIVE
CT 06082
(41.997088, -72.573624)",15 PALOMBA DRIVE; SUITE #8,ENFIELD,CT,06082,38216
QUALITY CARE DRUG - CENTERBROOK,(860) 767-0206,PCY.0002279,"33 MAIN ST
CT 06409-1083
(41.351881, -72.411685)",33 MAIN ST,CENTERBROOK,CT,06409-1083,1181120
STOP & SHOP PHARMACY #675,(203) 755-9538,PCY.0001781,"920 WOLCOTT ST
CT 06705-1300
(41.565771, -73.008345)",920 WOLCOTT ST,WATERBURY,CT,06705-1300,277465
CVS PHARMACY #1123,(203) 262-1831,PCY.0001388,"22 DEPOT HILL RD
CT 06488-2258
(41.475863, -73.21782)",22 DEPOT HILL RD,SOUTHBURY,CT,06488-2258,38685
RITE AID  #10355,(860) 376-1206,PCY.0001727,"27 MAIN ST
CT 06351-2203
(41.605287, -71.983223)",27 MAIN ST,JEWETT CITY,CT,06351-2203,221601
RITE AID  #10375,(203) 230-0274,PCY.0000494,"2175 DIXWELL AVE
CT 06514-2405
(41.37022, -72.91858)",2175 DIXWELL AVE,HAMDEN,CT,06514-2405,245282
CVS PHARMACY #1276,(860) 584-8998,PCY.0001473,"81 NORTH ST
CT 06010-4152
(41.681278, -72.94622)",81 NORTH ST,BRISTOL,CT,06010-4152,39100
ARCH STREET PHARMACY,,PCY.0002288,"333 ARCH ST
CT 06051-2520
(41.661285, -72.783051)",333 ARCH ST,NEW BRITAIN,CT,06051-2520,1206019
CVS PHARMACY #5881,(203) 322-1520,PCY.0002304,"969 HIGH RIDGE RD
CT 06905-1608
(41.104813, -73.548435)",969 HIGH RIDGE RD,STAMFORD,CT,06905-1608,1248309
WALGREENS #15207,(860) 523-5849,PCY.0001451,"668 FARMINGTON AVE
CT 06119-1810
(41.765556, -72.71684)",668 FARMINGTON AVE,WEST HARTFORD,CT,06119-1810,246442
CVS/PHARMACY #17072,(203) 455-0103,PCY.0001956,"120 HAWLEY LN
CT 06611-5347
(41.232987, -73.149952)",120 HAWLEY LN,TRUMBULL,CT,06611-5347,394034
WALGREENS #09521,(203) 696-0127,PCY.0002059,"1000 PARK AVE
CT 06604-3406
(41.175023, -73.198576)",1000 PARK AVE,BRIDGEPORT,CT,06604-3406,438882
WALGREENS #12025,(203) 753-1116,PCY.0001723,"20 E MAIN ST
CT 06702-2302
(41.555741, -73.040244)",20 E MAIN ST,WATERBURY,CT,06702-2302,219623
CVS PHARMACY #1151,(203) 596-0909,PCY.0001381,"464 REIDVILLE DR
CT 06705-2650
(41.53945, -72.997326)",464 REIDVILLE DR,WATERBURY,CT,06705-2650,225202
CVS PHARMACY #0943,(860) 456-5931,PCY.0001713,"1200 MAIN ST
CT 06226-1908
(41.713915, -72.224943)",1200 MAIN ST,WILLIMANTIC,CT,06226-1908,217504
RITE AID  #2574,(203) 877-6774,PCY.0001154,"1360 BOSTON POST RD
CT 06460-2704
(41.239966, -73.034509)",1360 BOSTON POST RD,MILFORD,CT,06460-2704,225198
WALGREENS #10177,(203) 299-1215,PCY.0002125,"54 WEST AVE
CT 06854-2225
(41.103787, -73.419825)",54 WEST AVE,NORWALK,CT,06854-2225,515615
STOP & SHOP PHARMACY #2614,(860) 870-6255,PCY.0001551,"50 WINDSORVILLE RD
CT 06066-2385
(41.865032, -72.482059)",50 WINDSORVILLE RD,VERNON,CT,06066-2385,74160
WALGREENS #09101,(203) 288-5217,PCY.0002061,"2505 WHITNEY AVE
CT 06518-3019
(41.38819, -72.900111)",2505 WHITNEY AVE,HAMDEN,CT,06518-3019,438886
FORD PHARMACY & MED SUPPLY,(203) 729-2680,PCY.0000432,"2 CHURCH ST
CT 06770-4112
(41.487254, -73.056368)",2 CHURCH ST,NAUGATUCK,CT,06770-4112,37318
CENTRAL ADMIXTURE PHARMACY SERVICES INC.,(203) 265-5637,PCY.0002066,"27 VILLAGE LANE
CT 06492
(41.474229, -72.805226)",27 VILLAGE LANE,WALLINGFORD,CT,06492,442636
WALGREENS #06914,(203) 469-3016,PCY.0001943,"87 FOXON ST
CT 06513-2365
(41.319811, -72.871404)",87 FOXON ST,NEW HAVEN,CT,06513-2365,391067
WALGREENS #02410,(203) 230-0610,PCY.0001395,"1697 WHITNEY AVE
CT 06517-1928
(41.360647, -72.909431)",1697 WHITNEY AVE,HAMDEN,CT,06517-1928,241512
STOP & SHOP #610,(860) 956-0477,PCY.0001391,"1380 BERLIN TPKE
CT 06109-1093
(41.717161, -72.695962)",1380 BERLIN TPKE,WETHERSFIELD,CT,06109-1093,283272
HEALTH PLUS PHARMACY INC,(203) 304-2900,PCY.0002344,"114 CONNECTICUT AVE
CT 06854-1525
(41.105824, -73.427183)",114 CONNECTICUT AVE,NORWALK,CT,06854-1525,1383345
CVS PHARMACY #750,(860) 741-5498,PCY.0001234,"875 ENFIELD ST
CT 06082-3617
(41.998176, -72.594367)",875 ENFIELD ST,ENFIELD,CT,06082-3617,38241
GREENVIEW PHARMACY LLC,203-531-3323,PCY.0002131,"13 N WATER ST
CT 06830-5814
(41.004217, -73.6573)",13 N WATER ST,GREENWICH,CT,06830-5814,520350
RITE AID  #2089,(203) 754-3636,PCY.0001696,"1030 WOLCOTT ST
CT 06705-1316
(41.569051, -73.006173)",1030 WOLCOTT ST,WATERBURY,CT,06705-1316,208021
STOP & SHOP #628,(860) 582-5674,PCY.0001315,"597 FARMINGTON AVE
CT 06010-3932
(41.690416, -72.924081)",597 FARMINGTON AVE,BRISTOL,CT,06010-3932,246463
WALGREENS #09432,(860) 253-0463,PCY.0002076,"2 SHAKER RD
CT 06082-3112
(42.001639, -72.564839)",2 SHAKER RD,ENFIELD,CT,06082-3112,450313
CVS/PHARMACY #16597,(860) 327-0083,PCY.0001754,"125 BUCKLAND HILLS DR
CT 06042-8701
(41.809118, -72.549603)",125 BUCKLAND HILLS DR,MANCHESTER,CT,06042-8701,242023
VITAL CARE OF CONNECTICUT INC,(203) 845-0616,PCY.0002019,"189 MAIN ST
CT 06851-3607
(41.126688, -73.421464)",189 MAIN ST,NORWALK,CT,06851-3607,419504
CVS PHARMACY #1242,(860) 651-1440,PCY.0001422,"714 HOPMEADOW ST
CT 06070-2234
(41.872192, -72.802784)",714 HOPMEADOW ST,SIMSBURY,CT,06070-2234,246860
BIG Y PHARMACY #30,(860) 886-1301,PCY.0001975,"224 SALEM TURNPIKE
CT 06360
(41.507436, -72.123584)",224 SALEM TURNPIKE,NORWICH,CT,06360,400245
CVS PHARMACY #2219,(860) 258-4963,PCY.0001734,"2427 MAIN ST
CT 06067-2503
(41.662461, -72.639088)",2427 MAIN ST,ROCKY HILL,CT,06067-2503,223547
RITE AID  #667,(203)734-3152,PCY.0001022,"404 MAIN ST
CT 06401-2307
(41.340031, -73.077976)",404 MAIN ST,ANSONIA,CT,06401-2307,225195
WALGREENS #09784,(860) 289-4944,PCY.0001465,"20 CONNECTICUT BLVD
CT 06108-3007
(41.769426, -72.64476)",20 CONNECTICUT BLVD,EAST HARTFORD,CT,06108-3007,284403
CVS PHARMACY #85,(860) 569-0888,PCY.0002246,"972 SILVER LN
CT 06118-1248
(41.765604, -72.601271)",972 SILVER LN,EAST HARTFORD,CT,06118-1248,1082304
RITE AID  #10378,(860) 589-7713,PCY.0001221,"8 S MAIN ST
STE A, CT 06786-6235
(41.677936, -73.011359)",8 S MAIN ST STE A,TERRYVILLE,CT,06786-6235,38234
STOP & SHOP PHARMACY #645,(860) 348-9830,PCY.0001761,"1309 CORBIN AVE
CT 06053-3857
(41.669413, -72.805808)",1309 CORBIN AVE,NEW BRITAIN,CT,06053-3857,243636
ARROW PRESCRIPTION CENTER #12,(860) 522-9289,PCY.0000347,"500 FARMINGTON AVE
CT 06105-3106
(41.766539, -72.708405)",500 FARMINGTON AVE,HARTFORD,CT,06105-3106,37126
GREENVILLE DRUG STORE,(860) 889-9857,PCY.0000731,"213 CENTRAL AVE
CT 06360-3801
(41.53355, -72.056712)",213 CENTRAL AVE,NORWICH,CT,06360-3801,247253
CVS PHARMACY #1912,(203) 366-8070,PCY.0001478,"1968 BLACK ROCK TPKE
CT 06825-3543
(41.180841, -73.24943)",1968 BLACK ROCK TPKE,FAIRFIELD,CT,06825-3543,310359
CVS/PHARMACY #16633,(860) 348-9163,PCY.0001755,"475 HARTFORD RD
CT 06053-1524
(41.710689, -72.765624)",475 HARTFORD RD,NEW BRITAIN,CT,06053-1524,242630
WALGREENS #07759,(860) 405-1919,PCY.0001900,"441 LONG HILL RD
CT 06340-4149
(41.355003, -72.0606)",441 LONG HILL RD,GROTON,CT,06340-4149,382793
BISSELL PHARMACY,(203) 438-6600,PCY.0000023,"23 GOVERNOR ST
CT 06877-4687
(41.280656, -73.496291)",23 GOVERNOR ST,RIDGEFIELD,CT,06877-4687,249877
CVS  #3719,203-363-0627,PCY.0002184,"11 FOREST ST
CT 06901-1877
(41.056942, -73.537185)",11 FOREST ST,STAMFORD,CT,06901-1877,944177
RITE AID  #1375,(203) 723-7745,PCY.0001214,"56 RUBBER AVE
CT 06770-4136
(41.487101, -73.05709)",56 RUBBER AVE,NAUGATUCK,CT,06770-4136,246251
CVS PHARMACY #954,(860) 314-2891,PCY.0001584,"311 MAIN ST
CT 06786-5928
(41.6799, -73.019364)",311 MAIN ST,TERRYVILLE,CT,06786-5928,173086
HANCOCK PHARMACY AT LONG WHARF INC,(203) 787-9908,PCY.0002211,"1 LONG WHARF DR
CT 06511-5991
(41.288558, -72.929033)",1 LONG WHARF DR STE 116,NEW HAVEN,CT,06511-5991,993487
RITE AID #10354,(860) 739-9007,PCY.0001416,"340 FLANDERS RD
CT 06333-1710
(41.365881, -72.209568)",340 FLANDERS RD,EAST LYME,CT,06333-1710,38881
BEACON PRESCRIPTIONS,(860) 225-6487,PCY.0000332,"543 W MAIN ST
CT 06053-3915
(41.665722, -72.800353)",543 W MAIN ST,NEW BRITAIN,CT,06053-3915,37123
CVS PHARMACY #10100,(860) 273-3171,PCY.0002225,"151 FARMINGTON AVE
CT 06156-0001
(41.768048, -72.688387)",151 FARMINGTON AVE,HARTFORD,CT,06156-0001,1041043
CVS PHARMACY #1948,(860) 296-1155,PCY.0001516,"690 WETHERSFIELD AVE
CT 06114-1930
(41.737257, -72.671071)",690 WETHERSFIELD AVE,HARTFORD,CT,06114-1930,39123
STOP & SHOP PHARMACY #697,(860) 774-5301,PCY.0001555,"1094 KILLINGLY COMMONS DRIVE
CT 06241-2143
(41.842098, -71.88264)",1094 KILLINGLY COMMONS DRIVE,DAYVILLE,CT,06241-2143,340612
COMPOUNDED SOLUTIONS IN PHARMACY LLC,(203) 268-4964,PCY.0001717,"810 MAIN ST
CT 06468-2809
(41.346973, -73.259732)",810 MAIN ST,MONROE,CT,06468-2809,217178
WALGREENS #06308,(203) 845-0457,PCY.0001767,"55 WESTPORT AVE
CT 06851-3931
(41.121881, -73.40443)",55 WESTPORT AVE,NORWALK,CT,06851-3931,258118
WALGREENS #03579,(203) 389-2143,PCY.0000131,"1471 WHALLEY AVE
CT 06515-1153
(41.334058, -72.976318)",1471 WHALLEY AVE,NEW HAVEN,CT,06515-1153,36904
CVS PHARMACY #2682,(860) 738-6250,PCY.0001801,"47 MAIN ST
CT 06098-1703
(41.920631, -73.059505)",47 MAIN ST,WINSTED,CT,06098-1703,306093
WALGREENS #05134,(860) 658-0479,PCY.0001029,"540 BUSHY HILL RD
CT 06070-2925
(41.81833, -72.866681)",540 BUSHY HILL RD,SIMSBURY,CT,06070-2925,37986
BEACON PHARMACY LLC DBA ROCKVILLE PHARMACY,(860) 875-9263,PCY.0000358,"40 W MAIN ST
CT 06066-3501
(41.671208, -72.867912)",40 W MAIN ST,VERNON ROCKVILLE,CT,06066-3501,37130
HIGGANUM PHARMACY,(860) 345-3607,PCY.0002191,"23 KILLINGWORTH RD
CT 06441-4242
(41.494954, -72.558359)",23 KILLINGWORTH RD,HIGGANUM,CT,06441-4242,950970
STOP & SHOP PHARMACY #603,203-881-2756,PCY.0001763,"15 FRANKLIN ST
CT 06483-2809
(41.400614, -73.072106)",15 FRANKLIN ST,SEYMOUR,CT,06483-2809,245610
RITE AID  #10389,(203) 438-7378,PCY.0001885,"125 DANBURY RD
CT 06877-4139
(41.294583, -73.492898)",125 DANBURY RD,RIDGEFIELD,CT,06877-4139,376869
CVS/PHARMACY #16603,(860) 741-8054,PCY.0001790,"90 ELM ST
CT 06082-3770
(41.997903, -72.583405)",90 ELM ST,ENFIELD,CT,06082-3770,288615
SHARON PHARMACY,(860) 364-5272,PCY.0000294,"8 GAY ST
CT 06069-0116
(41.92314, -73.069718)",8 GAY ST,SHARON,CT,06069-0116,37117
